variant,side,gate,rsi_n,th,exit,period,N,Win,AvgPct,PF,Hold,Stops,CAR,MaxDD,Sharpe,CapUsed,CorrSPY
L-sma200-rsi3<15-sma5+choch,L,sma200,3,15,sma5+choch,OOS,1756,0.6093394077448747,0.005397613310323752,1.5541663846900906,4.353075170842825,0.056378132118451024,0.20381570471538812,-0.1236237224218456,1.409325946767708,0.4397993311036789,0.5850873538966952
L-sma200-rsi3<15-time5,L,sma200,3,15,time5,IS,1220,0.5368852459016393,0.002109692143686589,1.1272750594460181,6.811475409836065,0.10655737704918032,0.011179705852357058,-0.1999196437517533,0.1490141097464446,0.47314814814814815,0.5611149663924726
L-sma200-rsi3<15-time5,L,sma200,3,15,time5,OOS,1643,0.5623858794887401,0.007637967297448757,1.5504797857851649,7.04138770541692,0.05782105903834449,0.27689082028470624,-0.1535715535937935,1.6928168122518585,0.5875139353400223,0.6519718161316569
L-mcslope-rsi2<5-sma5,L,mcslope,2,5,sma5,IS,953,0.6306400839454355,-6.51623281459921e-05,0.9954759256436646,5.1007345225603355,0.1416579223504722,0.016012941102026668,-0.17364908040594673,0.20103680643333788,0.3363756613756614,0.4481984924683206
L-mcslope-rsi2<5-sma5,L,mcslope,2,5,sma5,OOS,1164,0.6434707903780069,0.005452463732015324,1.5121082350475723,5.426975945017182,0.06872852233676977,0.14185528813854353,-0.11609985356632746,1.1812762121077687,0.3845039018952062,0.5632074977895178
L-mcslope-rsi2<5-rsi,L,mcslope,2,5,rsi,IS,941,0.6301806588735388,-0.0002655259591673761,0.9843987692910765,6.531349628055261,0.17534537725823593,-0.005582700750685454,-0.20834188168092305,0.01376912944335322,0.4003968253968255,0.4954845497881284
L-mcslope-rsi2<5-rsi,L,mcslope,2,5,rsi,OOS,1151,0.6663770634231103,0.00506510398218019,1.3879591652059673,6.919200695047785,0.09643788010425716,0.1354132436491624,-0.15136763497783035,1.0604501521147487,0.46120401337792644,0.604355677961864
L-mcslope-rsi2<5-chan,L,mcslope,2,5,chan,IS,927,0.5264293419633226,-0.0024762570069208436,0.8950435371508495,10.359223300970873,0.22869471413160733,-0.03750725477280281,-0.25938009788316996,-0.19569662254130488,0.5392857142857143,0.5834600274540496
L-mcslope-rsi2<5-chan,L,mcslope,2,5,chan,OOS,1126,0.6127886323268206,0.008737507769568076,1.4958752203168126,10.712255772646536,0.13854351687388988,0.19016803189248588,-0.19646244914903455,1.3017561554687693,0.6270903010033445,0.6492564194471593
L-mcslope-rsi2<5-sma5+choch,L,mcslope,2,5,sma5+choch,IS,958,0.6283924843423799,0.00025728462384548296,1.0187325932010314,4.779749478079332,0.1304801670146138,0.01934228281902528,-0.18025457817760537,0.2347842326350987,0.32460317460317467,0.4156240749011406
L-mcslope-rsi2<5-sma5+choch,L,mcslope,2,5,sma5+choch,OOS,1178,0.6307300509337861,0.005135852609243834,1.502660661545701,4.970288624787776,0.06027164685908319,0.13594292579929435,-0.0988255870925232,1.1847664824265924,0.36644370122631,0.5393926448745959
L-mcslope-rsi2<5-time5,L,mcslope,2,5,time5,IS,962,0.5041580041580042,-0.0015809843099936062,0.9109698738144085,6.8056133056133055,0.10706860706860707,-0.019345171682780715,-0.224618088767226,-0.09807220981429848,0.415079365079365,0.5080034667959538
L-mcslope-rsi2<5-time5,L,mcslope,2,5,time5,OOS,1164,0.5609965635738832,0.007090701980200327,1.5350338295497141,7.054123711340206,0.04896907216494845,0.17089988678046364,-0.15726903016685034,1.3025717013138631,0.4816053511705686,0.609856636278995
L-mcslope-rsi2<10-sma5,L,mcslope,2,10,sma5,IS,1921,0.6366475793857366,0.0010061869543215658,1.07303005303135,5.084851639770952,0.12857886517438835,0.01448447676028386,-0.2179518424335758,0.17169938817468502,0.5880952380952381,0.6397975244760606
L-mcslope-rsi2<10-sma5,L,mcslope,2,10,sma5,OOS,2460,0.65,0.005396938161931196,1.5056766957315904,5.3516260162601625,0.07886178861788617,0.181432543391562,-0.18268436605934701,1.1342926311010106,0.6342251950947604,0.6216634397441841
L-mcslope-rsi2<10-rsi,L,mcslope,2,10,rsi,IS,1876,0.6369936034115139,0.0008344031254190466,1.0508099454119801,6.458422174840085,0.16044776119402984,-0.011784531203508863,-0.2447536796184301,0.004690997289003634,0.6408730158730159,0.684532105232239
L-mcslope-rsi2<10-rsi,L,mcslope,2,10,rsi,OOS,2400,0.665,0.0052833247085339,1.4032654976066814,6.73625,0.10625,0.13257854716975603,-0.2588044374373085,0.8347022678236222,0.7028985507246377,0.6481073656911323
